光伏用户编号,综合倍率,时间,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96
f1,80,2022-1-3 0:00,0,0,0,0,0,0,-0.0001,-0.0001,-0.0001,0,0,-0.0001,0,0,0,0,0,-0.0001,0,0,0,0,0,-0.0001,0,-0.0003,-0.0003,-0.0021,0.0195,0.0585,0.0879,0.262,0.3648,0.4982,0.635,0.7224,0.8252,0.9434,1.0177,1.1042,1.1721,1.2464,1.3093,1.26,1.2396,1.2373,1.2056,1.2052,1.1454,1.1522,1.116,1.0557,1.1146,1.0852,1.1499,1.13,1.0634,0.9629,0.8682,0.7554,0.6495,0.5417,0.4248,0.3132,0.22,0.1328,0.0571,0.0261,0.0033,-0.0048,-0.0032,-0.0032,-0.0033,-0.0032,-0.0031,-0.0032,-0.0031,-0.0031,-0.0032,-0.0031,-0.0032,-0.0032,-0.0031,-0.0032,-0.0032,-0.0031,-0.0031,-0.0032,-0.0032,-0.0033,-0.0001,-0.0001,-0.0003,-0.0003,-0.0003,-0.0001
f1,80,2022-1-4 0:00,-0.0001,0,-0.0001,0,0,-0.0001,-0.0001,-0.0001,-0.0003,-0.0001,-0.0001,-0.0001,-0.0001,0,0,0,-0.0001,0,0,-0.0003,0,0,-0.0001,-0.0001,0,0,-0.0045,0.002,0.0378,0.11,0.2024,0.3093,0.4251,0.4597,0.7423,0.75,0.8542,0.976,1.0643,1.1449,1.2115,1.274,1.3497,1.313,0.7487,0.7047,0.6563,0.9579,1.1164,0.9271,1.1173,1.2074,0.577,1.1015,0.8152,0.4509,0.4599,0.6214,0.9031,0.7283,0.6205,0.1559,0.1635,0.1519,0.1071,0.1286,0.0592,0.0276,0.0034,-0.0045,-0.0032,-0.0032,-0.0032,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0032,-0.0031,-0.0032,-0.0032,-0.0031,-0.0032,-0.0032,-0.0031,-0.0032,-0.0032,-0.0032,-0.0031,-0.0001,0,-0.0001,-0.0001,-0.0001,-0.0001
f1,80,2022-1-5 0:00,-0.0003,-0.0001,0,0,0,-0.0001,-0.0001,0,0,0,0,0,0,0,0,0,0,-0.0001,0,-0.0001,-0.0001,0,-0.0001,0,-0.0001,-0.0001,-0.0001,-0.0042,-0.002,0.0028,0.0053,0.0029,0.0196,0.1165,0.1343,0.2155,0.0722,0.2443,0.1024,0.1132,0.2225,0.1491,0.1861,0.1561,0.2985,0.2582,0.3485,0.147,0.1763,0.769,0.8044,0.6141,0.9158,0.7917,0.6694,0.596,0.6508,0.5983,0.5761,0.3983,0.4683,0.3569,0.2452,0.1719,0.1703,0.1257,0.0726,0.0297,0.0016,-0.0042,-0.0033,-0.0033,-0.0031,-0.0031,-0.0033,-0.0033,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0015,-0.0015,-0.0016,-0.0016,-0.0016,-0.0016,-0.0017,0,0,0,0,0,-0.0001
f1,80,2022-1-6 0:00,-0.0003,0,-0.0003,-0.0001,0,0,0,-0.0001,0,0,0,-0.0001,-0.0001,0,-0.0001,-0.0001,0,0,-0.0001,0,0,-0.0001,0,0,0,0,0,-0.0015,0.0038,0.0003,0.0085,0.034,0.0361,0.0178,0.0127,0.0048,0.0118,0.0216,0.0174,0.0465,0.0557,,0,0,,0,0,0.0458,0.0653,0.0821,0.0828,0.1047,0.0834,0.0954,0.1219,0.1067,0.0795,0.0943,0.1071,0.097,0.1333,0.123,0.1018,0.0861,0.0611,0.0359,0.0248,0.0023,-0.0042,-0.0048,-0.0032,-0.0031,-0.0032,-0.0032,-0.0032,-0.0031,-0.0032,-0.0031,-0.0032,-0.0031,-0.0031,-0.0032,-0.0029,-0.0015,-0.0015,-0.0017,-0.0016,-0.0016,-0.0016,-0.0016,0,0,0,-0.0001,0,0
f1,80,2022-1-7 0:00,0,-0.0001,-0.0001,0,0,-0.0001,-0.0003,0,0,0,0,0,0,0,-0.0001,0,0,-0.0001,-0.0003,-0.0003,0,0,0,-0.0001,-0.0001,-0.0003,-0.0003,-0.0032,0.0131,0.0243,0.06,0.1356,0.1225,0.1824,0.2792,0.736,0.5983,0.8601,0.9783,1.2595,1.4153,1.3247,1.4511,1.481,1.0086,0.6472,0.7704,0.7468,0.8447,0.5272,0.8256,0.5113,0.8669,1.0154,1.4647,0.8016,0.9389,0.9112,0.7006,0.8469,0.5222,0.3766,0.3105,0.2851,0.1884,0.1064,0.0391,0.0222,0,-0.0042,-0.0033,-0.0031,-0.0033,-0.0016,-0.0016,-0.0016,0,-0.0001,0,0,-0.0001,-0.0003,0,0,0,-0.0003,0,-0.0001,0,0,0,-0.0001,0,0,0,0
f1,80,2022-1-8 0:00,-0.0003,-0.0001,-0.0001,-0.0001,0,-0.0003,0,0,0,0,0,-0.0001,-0.0001,0,-0.0001,0,0,0,0,0,0,0,0,-0.0001,-0.0003,0,-0.0045,0.0001,0.0442,0.1099,0.1961,0.305,0.4058,0.515,0.63,0.7468,0.8537,0.976,1.0489,1.1291,1.1911,1.2532,1.308,1.2949,1.2518,1.2305,1.2256,1.2201,1.1286,1.2007,1.1603,1.1622,1.25,1.2097,1.0421,1.1662,1.0458,0.9747,0.866,0.7573,0.6626,0.5553,0.426,0.3363,0.2523,0.1676,0.0883,0.0523,0.0099,-0.0044,-0.0031,-0.0032,-0.0032,-0.0016,-0.0016,-0.0017,-0.0019,-0.0017,-0.0016,-0.0017,-0.0016,-0.0015,-0.0017,-0.0016,-0.0017,-0.0016,-0.0016,-0.0016,-0.0015,-0.0003,-0.0001,0,0,-0.0001,0,0
f1,80,2022-1-9 0:00,0,0,-0.0001,-0.0001,-0.0001,0,0,0,-0.0001,-0.0001,0,-0.0001,0,0,-0.0001,-0.0001,0,0,0,0,0,-0.0001,-0.0001,0,0,-0.0001,-0.0017,0.0009,0.0231,0.0296,0.0819,0.3492,0.2985,0.3913,0.2824,0.2123,0.301,0.3508,0.4869,0.5113,0.4058,0.3802,0.4602,0.3213,0.3646,0.2491,0.329,0.4724,0.5852,0.51,0.5299,0.3834,0.3143,0.2883,0.2421,0.26,0.2917,0.2375,0.1919,0.1989,0.148,0.133,0.0787,0.0584,0.051,0.0386,0.0236,0.004,-0.0032,-0.0042,-0.0029,-0.0033,-0.0032,-0.0032,-0.0031,-0.0032,-0.0031,-0.0033,-0.0032,-0.0033,-0.0031,-0.0032,-0.0032,-0.0032,-0.0031,-0.0032,-0.0033,-0.0032,-0.0032,-0.0032,-0.0016,-0.0016,-0.0016,-0.0017,-0.0016,-0.0016
f1,80,2022-1-10 0:00,0,0,0,-0.0001,-0.0001,0,0,0,-0.0003,0,0,-0.0001,0,0,0,0,0,0,0,0,0,0,-0.0001,-0.0001,0,0,-0.0001,-0.0017,-0.0045,-0.0023,0.006,0.0377,0.0699,0.0844,0.121,0.129,0.2018,0.3988,0.3428,0.3904,0.4792,0.2695,0.435,0.5648,0.6064,0.7179,0.6997,0.7292,0.5548,0.4728,0.63,0.6585,0.7876,0.7659,0.6286,0.5222,0.4509,0.3841,0.4117,0.216,0.2161,0.1149,0.3082,0.167,0.0702,0.0695,0.0167,0.016,-0.0042,-0.0036,-0.0032,-0.0031,-0.0031,-0.0032,-0.0032,-0.0032,-0.0034,-0.0031,-0.0033,-0.0032,-0.0032,-0.0031,-0.0033,-0.0032,-0.0017,-0.0016,-0.0017,-0.0017,-0.0017,-0.0017,-0.0001,0,-0.0001,0,0,0
f1,80,2022-1-11 0:00,-0.0001,-0.0001,0,0,-0.0001,0,-0.0003,0,-0.0001,0,-0.0001,0,0,0,-0.0001,0,0,-0.0001,-0.0001,-0.0003,0,-0.0001,-0.0001,-0.0001,-0.0001,0,-0.0001,0,-0.0032,0.0074,0.0222,0.0395,0.0649,0.0965,0.136,0.2407,0.2991,0.3,0.3635,0.3689,0.2595,0.2491,0.2301,0.2249,0.2649,0.31,0.2987,0.296,0.3019,0.248,0.2674,0.3082,0.2699,0.3125,0.2529,0.2174,0.2191,0.2588,0.9552,0.8211,0.7006,0.514,0.2822,0.2074,0.2253,0.0982,0.054,0.0287,0.0042,-0.0048,-0.0032,-0.0033,-0.0032,-0.0032,-0.0032,-0.0032,-0.0031,-0.0031,-0.0031,-0.0033,-0.0031,-0.0032,-0.0029,-0.0032,-0.0032,-0.0032,-0.0032,-0.0031,-0.0032,-0.0032,-0.0017,-0.0017,-0.0001,0,-0.0001,0
f1,80,2022-1-12 0:00,-0.0001,-0.0001,0,0,0,0,0,0,-0.0001,-0.0001,0,-0.0001,-0.0001,0,0,-0.0001,0,0,0,0,-0.0001,0,-0.0001,0,0,-0.0001,-0.0023,0.0001,0.0267,0.0691,0.0877,0.1381,0.2122,0.2726,0.3476,0.6617,0.8741,0.7323,0.6739,0.5947,0.5978,0.6445,0.7505,0.7754,0.8098,0.8804,0.9701,0.8311,0.8193,0.7677,0.9552,1.1069,1.2514,0.861,0.9189,1.1228,0.5245,0.9638,0.8877,0.8139,0.3798,0.4149,0.2948,0.2309,0.1483,0.0784,0.0386,0.0247,0.0038,-0.004,-0.0036,-0.0031,-0.0032,-0.0032,-0.0032,-0.0032,-0.0031,-0.0031,-0.0031,-0.0033,-0.0033,-0.0031,-0.0032,-0.0031,-0.0032,-0.0032,-0.0023,-0.0016,-0.0016,-0.0019,0,-0.0001,0,0,-0.0003,0
