光伏用户编号,综合倍率,时间
f1,80,2023-5-1 0:00
f1,80,2023-5-2 0:00
f1,80,2023-5-3 0:00
f1,80,2023-5-4 0:00
f1,80,2023-5-5 0:00
f1,80,2023-5-6 0:00
f1,80,2023-5-7 0:00
f1,80,2023-5-8 0:00
f1,80,2023-5-9 0:00
f1,80,2023-5-10 0:00
f1,80,2023-5-11 0:00
f1,80,2023-5-12 0:00
f1,80,2023-5-13 0:00
f1,80,2023-5-14 0:00
f1,80,2023-5-15 0:00
f1,80,2023-5-16 0:00
f1,80,2023-5-17 0:00
f1,80,2023-5-18 0:00
f1,80,2023-5-19 0:00
f1,80,2023-5-20 0:00
f1,80,2023-5-21 0:00
f1,80,2023-5-22 0:00
f1,80,2023-5-23 0:00
f1,80,2023-5-24 0:00
f1,80,2023-5-25 0:00
f1,80,2023-5-26 0:00
f1,80,2023-5-27 0:00
f1,80,2023-5-28 0:00
f1,80,2023-5-29 0:00
f1,80,2023-5-30 0:00
f1,80,2023-5-31 0:00
f1,80,2023-6-1 0:00
f1,80,2023-6-2 0:00
f1,80,2023-6-3 0:00
f1,80,2023-6-4 0:00
f1,80,2023-6-5 0:00
f1,80,2023-6-6 0:00
f1,80,2023-6-7 0:00
f1,80,2023-6-8 0:00
f1,80,2023-6-9 0:00
f1,80,2023-6-10 0:00
f1,80,2023-6-11 0:00
f1,80,2023-6-12 0:00
f1,80,2023-6-13 0:00
f1,80,2023-6-14 0:00
f1,80,2023-6-15 0:00
f1,80,2023-6-16 0:00
f1,80,2023-6-17 0:00
f1,80,2023-6-18 0:00
f1,80,2023-6-19 0:00
f1,80,2023-6-20 0:00
f1,80,2023-6-21 0:00
f1,80,2023-6-22 0:00
f1,80,2023-6-23 0:00
f1,80,2023-6-24 0:00
f1,80,2023-6-25 0:00
f1,80,2023-6-26 0:00
f1,80,2023-6-27 0:00
f1,80,2023-6-28 0:00
f1,80,2023-6-29 0:00
f1,80,2023-6-30 0:00
f1,80,2023-7-1 0:00
f1,80,2023-7-2 0:00
f1,80,2023-7-3 0:00
f1,80,2023-7-4 0:00
f1,80,2023-7-5 0:00
f1,80,2023-7-6 0:00
f1,80,2023-7-7 0:00
f1,80,2023-7-8 0:00
f1,80,2023-7-9 0:00
f1,80,2023-7-10 0:00
f1,80,2023-7-11 0:00
f1,80,2023-7-12 0:00
f1,80,2023-7-13 0:00
f1,80,2023-7-14 0:00
f1,80,2023-7-15 0:00
f1,80,2023-7-16 0:00
f1,80,2023-7-17 0:00
f1,80,2023-7-18 0:00
f1,80,2023-7-19 0:00
f1,80,2023-7-20 0:00
f1,80,2023-7-21 0:00
f1,80,2023-7-22 0:00
f1,80,2023-7-23 0:00
f1,80,2023-7-24 0:00
f1,80,2023-7-25 0:00
f1,80,2023-7-26 0:00
f1,80,2023-7-27 0:00
f1,80,2023-7-28 0:00
f1,80,2023-7-29 0:00
f1,80,2023-7-30 0:00
f1,80,2023-7-31 0:00
f2,120,2023-5-2 0:00
f2,120,2023-5-1 0:00
f2,120,2023-5-4 0:00
f2,120,2023-5-3 0:00
f2,120,2023-5-5 0:00
f2,120,2023-5-6 0:00
f2,120,2023-5-10 0:00
f2,120,2023-5-9 0:00
f2,120,2023-5-7 0:00
f2,120,2023-5-11 0:00
f2,120,2023-5-8 0:00
f2,120,2023-5-13 0:00
f2,120,2023-5-14 0:00
f2,120,2023-5-12 0:00
f2,120,2023-5-15 0:00
f2,120,2023-5-17 0:00
f2,120,2023-5-16 0:00
f2,120,2023-5-18 0:00
f2,120,2023-5-20 0:00
f2,120,2023-5-21 0:00
f2,120,2023-5-19 0:00
f2,120,2023-5-22 0:00
f2,120,2023-5-24 0:00
f2,120,2023-5-26 0:00
f2,120,2023-5-25 0:00
f2,120,2023-5-27 0:00
f2,120,2023-5-30 0:00
f2,120,2023-5-29 0:00
f2,120,2023-5-28 0:00
f2,120,2023-6-3 0:00
f2,120,2023-6-1 0:00
f2,120,2023-5-31 0:00
f2,120,2023-6-2 0:00
f2,120,2023-6-4 0:00
f2,120,2023-6-6 0:00
f2,120,2023-6-7 0:00
f2,120,2023-6-5 0:00
f2,120,2023-6-8 0:00
f2,120,2023-6-9 0:00
f2,120,2023-6-10 0:00
f2,120,2023-6-11 0:00
f2,120,2023-6-12 0:00
f2,120,2023-6-14 0:00
f2,120,2023-6-15 0:00
f2,120,2023-6-18 0:00
f2,120,2023-6-13 0:00
f2,120,2023-6-17 0:00
f2,120,2023-6-19 0:00
f2,120,2023-6-16 0:00
f2,120,2023-6-23 0:00
f2,120,2023-6-22 0:00
f2,120,2023-6-21 0:00
f2,120,2023-6-25 0:00
f2,120,2023-6-27 0:00
f2,120,2023-6-24 0:00
f2,120,2023-6-26 0:00
f2,120,2023-6-28 0:00
f2,120,2023-6-30 0:00
f2,120,2023-7-1 0:00
f2,120,2023-6-29 0:00
f2,120,2023-7-2 0:00
f2,120,2023-7-3 0:00
f2,120,2023-7-4 0:00
f2,120,2023-7-5 0:00
f2,120,2023-7-9 0:00
f2,120,2023-7-6 0:00
f2,120,2023-7-8 0:00
f2,120,2023-7-7 0:00
f2,120,2023-7-10 0:00
f2,120,2023-7-12 0:00
f2,120,2023-7-13 0:00
f2,120,2023-7-11 0:00
f2,120,2023-7-15 0:00
f2,120,2023-7-16 0:00
f2,120,2023-7-17 0:00
f2,120,2023-7-20 0:00
f2,120,2023-7-18 0:00
f2,120,2023-7-19 0:00
f2,120,2023-7-21 0:00
f2,120,2023-7-23 0:00
f2,120,2023-7-22 0:00
f2,120,2023-7-28 0:00
f2,120,2023-7-25 0:00
f2,120,2023-7-26 0:00
f2,120,2023-7-29 0:00
f2,120,2023-7-27 0:00
f2,120,2023-7-30 0:00
f2,120,2023-7-31 0:00
f2,120,2023-5-23 0:00
f2,120,2023-6-20 0:00
f2,120,2023-7-14 0:00
f2,120,2023-7-24 0:00
f3,120,2023-5-1 0:00
f3,120,2023-5-2 0:00
f3,120,2023-5-3 0:00
f3,120,2023-5-4 0:00
