站点编号,时间,出力(MW)
f1,2023-5-1 0:00,4.23
f1,2023-5-1 0:15,3.337
f1,2023-5-1 0:30,4.3135
f1,2023-5-1 0:45,5.226
f1,2023-5-1 1:00,4.612
f1,2023-5-1 1:15,5.0306
f1,2023-5-1 1:30,4.23
f1,2023-5-1 1:45,3.337
f1,2023-5-1 2:00,4.3135
f1,2023-5-1 2:15,5.226
f1,2023-5-1 2:30,4.612
f1,2023-5-1 2:45,5.0306
f1,2023-5-1 3:00,4.23
f1,2023-5-1 3:15,3.337
f1,2023-5-1 3:30,4.3135
f1,2023-5-1 3:45,5.226
f1,2023-5-1 4:00,4.612
f1,2023-5-1 4:15,5.0306
f1,2023-5-1 4:30,4.23
f1,2023-5-1 4:45,3.337
f1,2023-5-1 5:00,4.3135
f1,2023-5-1 5:15,5.226
f1,2023-5-1 5:30,4.612
f1,2023-5-1 5:45,5.0306
f1,2023-5-1 6:00,4.23
f1,2023-5-1 6:15,3.337
f1,2023-5-1 6:30,4.3135
f1,2023-5-1 6:45,5.226
f1,2023-5-1 7:00,4.612
f1,2023-5-1 7:15,5.0306
f1,2023-5-1 7:30,4.23
f1,2023-5-1 7:45,3.337
f1,2023-5-1 8:00,4.3135
f1,2023-5-1 8:15,5.226
f1,2023-5-1 8:30,4.612
f1,2023-5-1 8:45,5.0306
f1,2023-5-1 9:00,4.23
f1,2023-5-1 9:15,3.337
f1,2023-5-1 9:30,4.3135
f1,2023-5-1 9:45,5.226
f1,2023-5-1 10:00,4.612
f1,2023-5-1 10:15,5.0306
f1,2023-5-1 10:30,4.23
f1,2023-5-1 10:45,3.337
f1,2023-5-1 11:00,4.3135
f1,2023-5-1 11:15,5.226
f1,2023-5-1 11:30,4.612
f1,2023-5-1 11:45,5.0306
f1,2023-5-1 12:00,4.23
f1,2023-5-1 12:15,3.337
f1,2023-5-1 12:30,4.3135
f1,2023-5-1 12:45,5.226
f1,2023-5-1 13:00,4.612
f1,2023-5-1 13:15,5.0306
f1,2023-5-1 13:30,4.23
f1,2023-5-1 13:45,3.337
f1,2023-5-1 14:00,4.3135
f1,2023-5-1 14:15,5.226
f1,2023-5-1 14:30,4.612
f1,2023-5-1 14:45,5.0306
f1,2023-5-1 15:00,4.23
f1,2023-5-1 15:15,3.337
f1,2023-5-1 15:30,4.3135
f1,2023-5-1 15:45,5.226
f1,2023-5-1 16:00,4.612
f1,2023-5-1 16:15,5.0306
f1,2023-5-1 16:30,4.23
f1,2023-5-1 16:45,3.337
f1,2023-5-1 17:00,4.3135
f1,2023-5-1 17:15,5.226
f1,2023-5-1 17:30,4.612
f1,2023-5-1 17:45,5.0306
f1,2023-5-1 18:00,4.23
f1,2023-5-1 18:15,3.337
f1,2023-5-1 18:30,4.3135
f1,2023-5-1 18:45,5.226
f1,2023-5-1 19:00,4.612
f1,2023-5-1 19:15,5.0306
f1,2023-5-1 19:30,4.23
f1,2023-5-1 19:45,3.337
f1,2023-5-1 20:00,4.3135
f1,2023-5-1 20:15,5.226
f1,2023-5-1 20:30,4.612
f1,2023-5-1 20:45,5.0306
f1,2023-5-1 21:00,4.23
f1,2023-5-1 21:15,3.337
f1,2023-5-1 21:30,4.3135
f1,2023-5-1 21:45,5.226
f1,2023-5-1 22:00,4.612
f1,2023-5-1 22:15,5.0306
f1,2023-5-1 22:30,4.23
f1,2023-5-1 22:45,3.337
f1,2023-5-1 23:00,4.3135
f1,2023-5-1 23:15,5.226
f1,2023-5-1 23:30,4.612
f1,2023-5-1 23:45,5.0306
f1,2023-5-2 0:00,4.23
f1,2023-5-2 0:15,3.337
f1,2023-5-2 0:30,4.3135
f1,2023-5-2 0:45,5.226
f1,2023-5-2 1:00,4.612
f1,2023-5-2 1:15,5.0306
f1,2023-5-2 1:30,4.23
f1,2023-5-2 1:45,3.337
f1,2023-5-2 2:00,4.3135
f1,2023-5-2 2:15,5.226
f1,2023-5-2 2:30,4.612
f1,2023-5-2 2:45,5.0306
f1,2023-5-2 3:00,4.23
f1,2023-5-2 3:15,3.337
f1,2023-5-2 3:30,4.3135
f1,2023-5-2 3:45,5.226
f1,2023-5-2 4:00,4.612
f1,2023-5-2 4:15,5.0306
f1,2023-5-2 4:30,4.23
f1,2023-5-2 4:45,3.337
f1,2023-5-2 5:00,4.3135
f1,2023-5-2 5:15,5.226
f1,2023-5-2 5:30,4.612
f1,2023-5-2 5:45,5.0306
f1,2023-5-2 6:00,4.23
f1,2023-5-2 6:15,3.337
f1,2023-5-2 6:30,4.3135
f1,2023-5-2 6:45,5.226
f1,2023-5-2 7:00,4.612
f1,2023-5-2 7:15,5.0306
f1,2023-5-2 7:30,4.23
f1,2023-5-2 7:45,3.337
f1,2023-5-2 8:00,4.3135
f1,2023-5-2 8:15,5.226
f1,2023-5-2 8:30,4.612
f1,2023-5-2 8:45,5.0306
f1,2023-5-2 9:00,4.23
f1,2023-5-2 9:15,3.337
f1,2023-5-2 9:30,4.3135
f1,2023-5-2 9:45,5.226
f1,2023-5-2 10:00,4.612
f1,2023-5-2 10:15,5.0306
f1,2023-5-2 10:30,4.23
f1,2023-5-2 10:45,3.337
f1,2023-5-2 11:00,4.3135
f1,2023-5-2 11:15,5.226
f1,2023-5-2 11:30,4.612
f1,2023-5-2 11:45,5.0306
f1,2023-5-2 12:00,4.23
f1,2023-5-2 12:15,3.337
f1,2023-5-2 12:30,4.3135
f1,2023-5-2 12:45,5.226
f1,2023-5-2 13:00,4.612
f1,2023-5-2 13:15,5.0306
f1,2023-5-2 13:30,4.23
f1,2023-5-2 13:45,3.337
f1,2023-5-2 14:00,4.3135
f1,2023-5-2 14:15,5.226
f1,2023-5-2 14:30,4.612
f1,2023-5-2 14:45,5.0306
f1,2023-5-2 15:00,4.23
f1,2023-5-2 15:15,3.337
f1,2023-5-2 15:30,4.3135
f1,2023-5-2 15:45,5.226
f1,2023-5-2 16:00,4.612
f1,2023-5-2 16:15,5.0306
f1,2023-5-2 16:30,4.23
f1,2023-5-2 16:45,3.337
f1,2023-5-2 17:00,4.3135
f1,2023-5-2 17:15,5.226
f1,2023-5-2 17:30,4.612
f1,2023-5-2 17:45,5.0306
f1,2023-5-2 18:00,4.23
f1,2023-5-2 18:15,3.337
f1,2023-5-2 18:30,4.3135
f1,2023-5-2 18:45,5.226
f1,2023-5-2 19:00,4.612
f1,2023-5-2 19:15,5.0306
f1,2023-5-2 19:30,4.23
f1,2023-5-2 19:45,3.337
f1,2023-5-2 20:00,4.3135
f1,2023-5-2 20:15,5.226
f1,2023-5-2 20:30,4.612
f1,2023-5-2 20:45,5.0306
f1,2023-5-2 21:00,4.23
f1,2023-5-2 21:15,3.337
f1,2023-5-2 21:30,4.3135
f1,2023-5-2 21:45,5.226
f1,2023-5-2 22:00,4.612
f1,2023-5-2 22:15,5.0306
f1,2023-5-2 22:30,4.23
f1,2023-5-2 22:45,3.337
f1,2023-5-2 23:00,4.3135
f1,2023-5-2 23:15,5.226
f1,2023-5-2 23:30,4.612
f1,2023-5-2 23:45,5.0306
f1,2023-5-3 0:00,4.23
f1,2023-5-3 0:15,3.337
f1,2023-5-3 0:30,4.3135
f1,2023-5-3 0:45,5.226
f1,2023-5-3 1:00,4.612
f1,2023-5-3 1:15,5.0306
f1,2023-5-3 1:30,4.23
f1,2023-5-3 1:45,3.337
f1,2023-5-3 2:00,4.3135
f1,2023-5-3 2:15,5.226
f1,2023-5-3 2:30,4.612
f1,2023-5-3 2:45,5.0306
f1,2023-5-3 3:00,4.23
f1,2023-5-3 3:15,3.337
f1,2023-5-3 3:30,4.3135
f1,2023-5-3 3:45,5.226
f1,2023-5-3 4:00,4.612
f1,2023-5-3 4:15,5.0306
f1,2023-5-3 4:30,4.23
f1,2023-5-3 4:45,3.337
f1,2023-5-3 5:00,4.3135
f1,2023-5-3 5:15,5.226
f1,2023-5-3 5:30,4.612
f1,2023-5-3 5:45,5.0306
f1,2023-5-3 6:00,4.23
f1,2023-5-3 6:15,3.337
f1,2023-5-3 6:30,4.3135
f1,2023-5-3 6:45,5.226
f1,2023-5-3 7:00,4.612
f1,2023-5-3 7:15,5.0306
f1,2023-5-3 7:30,4.23
f1,2023-5-3 7:45,3.337
f1,2023-5-3 8:00,4.3135
f1,2023-5-3 8:15,5.226
f1,2023-5-3 8:30,4.612
f1,2023-5-3 8:45,5.0306
f1,2023-5-3 9:00,4.23
f1,2023-5-3 9:15,3.337
f1,2023-5-3 9:30,4.3135
f1,2023-5-3 9:45,5.226
f1,2023-5-3 10:00,4.612
f1,2023-5-3 10:15,5.0306
f1,2023-5-3 10:30,4.23
f1,2023-5-3 10:45,3.337
f1,2023-5-3 11:00,4.3135
f1,2023-5-3 11:15,5.226
f1,2023-5-3 11:30,4.612
f1,2023-5-3 11:45,5.0306
f1,2023-5-3 12:00,4.23
f1,2023-5-3 12:15,3.337
f1,2023-5-3 12:30,4.3135
f1,2023-5-3 12:45,5.226
f1,2023-5-3 13:00,4.612
f1,2023-5-3 13:15,5.0306
f1,2023-5-3 13:30,4.23
f1,2023-5-3 13:45,3.337
f1,2023-5-3 14:00,4.3135
f1,2023-5-3 14:15,5.226
f1,2023-5-3 14:30,4.612
f1,2023-5-3 14:45,5.0306
f1,2023-5-3 15:00,4.23
f1,2023-5-3 15:15,3.337
f1,2023-5-3 15:30,4.3135
f1,2023-5-3 15:45,5.226
f1,2023-5-3 16:00,4.612
f1,2023-5-3 16:15,5.0306
f1,2023-5-3 16:30,4.23
f1,2023-5-3 16:45,3.337
f1,2023-5-3 17:00,4.3135
f1,2023-5-3 17:15,5.226
f1,2023-5-3 17:30,4.612
f1,2023-5-3 17:45,5.0306
f1,2023-5-3 18:00,4.23
f1,2023-5-3 18:15,3.337
f1,2023-5-3 18:30,4.3135
f1,2023-5-3 18:45,5.226
f1,2023-5-3 19:00,4.612
f1,2023-5-3 19:15,5.0306
f1,2023-5-3 19:30,4.23
f1,2023-5-3 19:45,3.337
f1,2023-5-3 20:00,4.3135
f1,2023-5-3 20:15,5.226
f1,2023-5-3 20:30,4.612
f1,2023-5-3 20:45,5.0306
f1,2023-5-3 21:00,4.23
f1,2023-5-3 21:15,3.337
f1,2023-5-3 21:30,4.3135
f1,2023-5-3 21:45,5.226
f1,2023-5-3 22:00,4.612
f1,2023-5-3 22:15,5.0306
f1,2023-5-3 22:30,4.23
f1,2023-5-3 22:45,3.337
f1,2023-5-3 23:00,4.3135
f1,2023-5-3 23:15,5.226
f1,2023-5-3 23:30,4.612
f1,2023-5-3 23:45,5.0306
f1,2023-5-4 0:00,4.23
f1,2023-5-4 0:15,3.337
f1,2023-5-4 0:30,4.3135
f1,2023-5-4 0:45,5.226
f1,2023-5-4 1:00,4.612
f1,2023-5-4 1:15,5.0306
f1,2023-5-4 1:30,4.23
f1,2023-5-4 1:45,3.337
f1,2023-5-4 2:00,4.3135
f1,2023-5-4 2:15,5.226
f1,2023-5-4 2:30,4.612
f1,2023-5-4 2:45,5.0306
f1,2023-5-4 3:00,4.23
f1,2023-5-4 3:15,3.337
f1,2023-5-4 3:30,4.3135
f1,2023-5-4 3:45,5.226
f1,2023-5-4 4:00,4.612
f1,2023-5-4 4:15,5.0306
f1,2023-5-4 4:30,4.23
f1,2023-5-4 4:45,3.337
f1,2023-5-4 5:00,4.3135
f1,2023-5-4 5:15,5.226
f1,2023-5-4 5:30,4.612
f1,2023-5-4 5:45,5.0306
f1,2023-5-4 6:00,4.23
f1,2023-5-4 6:15,3.337
f1,2023-5-4 6:30,4.3135
f1,2023-5-4 6:45,5.226
f1,2023-5-4 7:00,4.612
f1,2023-5-4 7:15,5.0306
f1,2023-5-4 7:30,4.23
f1,2023-5-4 7:45,3.337
f1,2023-5-4 8:00,4.3135
f1,2023-5-4 8:15,5.226
f1,2023-5-4 8:30,4.612
f1,2023-5-4 8:45,5.0306
f1,2023-5-4 9:00,4.23
f1,2023-5-4 9:15,3.337
f1,2023-5-4 9:30,4.3135
f1,2023-5-4 9:45,5.226
f1,2023-5-4 10:00,4.612
f1,2023-5-4 10:15,5.0306
f1,2023-5-4 10:30,4.23
