date,CPI_Index,CPI_YoY,PPI_Index,PPI_YoY,PMI_MI_Index,PMI_MI_YoY,PMI_NMI_Index,PMI_NMI_YoY,M2_Val,M2_YoY,M1_Val,M1_YoY
2010-04,102.81,0.028,106.81,0.0681,55.7,0.0411,57.8,0.0804,656561.22,0.2148,233909.76,0.3125
2010-05,103.06,0.031,107.13,0.0713,53.9,0.0151,58.1,0.0583,663351.37,0.21,236497.88,0.299
2010-06,102.95,0.029,106.41,0.0641,52.1,-0.0207,58.8,0.0614,673921.72,0.185,240580.0,0.246
2010-07,103.3,0.033,104.84,0.0484,51.2,-0.0394,57.1,-0.0035,674051.48,0.176,240664.07,0.229
2010-08,103.48,0.035,104.32,0.0432,51.7,-0.0426,58.0,0.0122,687506.92,0.192,244340.64,0.219
2010-09,103.61,0.036,104.33,0.0433,53.8,-0.0092,57.9,0.0,696471.5,0.19,243821.9,0.209
2010-10,104.37,0.044,105.04,0.0504,54.7,-0.0091,57.4,-0.0353,699776.74,0.193,253313.17,0.221
2010-11,105.12,0.051,106.06,0.0606,55.2,0.0,58.9,0.0086,710339.03,0.195,259420.32,0.221
2010-12,104.59,0.046,105.93,0.0593,53.9,-0.0477,58.8,0.0,725851.79,0.197,266621.54,0.212
2011-01,104.91,0.049,106.64,0.0664,52.9,-0.052,57.2,-0.0155,733884.83,0.172,261765.01,0.136
2011-02,104.94,0.049,107.23,0.0723,52.2,0.0038,57.0,0.0,736130.86,0.157,259200.5,0.145
2011-03,105.38,0.054,107.31,0.0731,53.4,-0.0309,59.2,0.0332,758130.88,0.166,266255.48,0.15
2011-04,105.34,0.053,106.82,0.0682,52.9,-0.0503,58.2,0.0069,757384.56,0.153,266766.91,0.129
2011-05,105.51,0.055,106.79,0.0679,52.0,-0.0353,58.7,0.0103,763409.22,0.151,269289.63,0.127
2011-06,106.36,0.064,107.12,0.0712,50.9,-0.023,56.6,-0.0374,780820.85,0.159,274662.57,0.131
2011-07,106.45,0.065,107.54,0.0754,50.7,-0.0098,57.3,0.0035,772923.65,0.147,270545.65,0.116
2011-08,106.15,0.062,107.25,0.0725,50.9,-0.0155,57.1,-0.0155,780852.3,0.135,273393.77,0.112
2011-09,106.07,0.061,106.52,0.0652,51.2,-0.0483,55.8,-0.0363,787406.2,0.1304,267193.16,0.0885
2011-10,105.5,0.055,105.0,0.05,50.4,-0.0786,55.5,-0.0331,816829.25,0.129,276552.67,0.084
2011-11,104.22,0.042,102.72,0.0272,49.0,-0.1123,55.9,-0.0509,825493.94,0.127,281416.37,0.078
2011-12,104.07,0.041,101.69,0.0169,50.3,-0.0668,56.3,-0.0425,851590.9,0.136,289847.7,0.079
2012-01,104.55,0.045,100.73,0.0073,50.5,-0.0454,55.7,-0.0262,855898.89,0.124,270010.4,0.031
2012-02,103.16,0.032,100.03,0.0003,51.0,-0.023,57.3,0.0053,867171.42,0.13,270312.11,0.043
2012-03,103.59,0.036,99.68,-0.0032,53.1,-0.0056,58.0,-0.0203,895565.5,0.134,277998.11,0.044
2012-04,103.37,0.034,99.3,-0.007,53.3,0.0076,56.1,-0.0361,889604.04,0.128,274983.82,0.031
2012-05,103.0,0.03,98.6,-0.014,50.4,-0.0308,55.2,-0.0596,900048.77,0.132,278656.31,0.035
