date,hs300_highest_price,hs300_lowest_price,hs300_closing_price,hs300_yield_rate,hs300_turnover,hs300_transaction_amount,financing_balance,financing_balance_ratio,financing_buy,financing_repay,financing_net_buy
2010-04-01,3392.48,3349.88,3391.94,0.0138,6777266400.0,92360500000.0,1371.0,0.0,954.8,233.0,721.8
2010-04-02,3412.2,3391.81,3407.35,0.0045,6907345600.0,99040760000.0,1319.0,0.0,641.9,694.6,-52.71
2010-04-06,3436.29,3386.89,3405.15,-0.0006,6519171200.0,93985880000.0,1451.0,0.0,716.2,583.6,132.7
2010-04-07,3404.58,3369.02,3386.95,-0.0053,5401122800.0,76733160000.0,3660.0,0.0,2224.0,14.71,2209.0
2010-04-08,3381.31,3336.16,3346.74,-0.0119,6218532400.0,89317470000.0,4470.0,0.0,1186.0,376.1,809.9
2010-04-09,3379.4,3342.47,3379.17,0.0097,5128056800.0,75590355000.0,7040.0,0.0,3143.0,573.9,2570.0
2010-04-12,3393.56,3330.3,3351.48,-0.0082,7456515200.0,105996610000.0,1.14,0.0,5078.0,730.6,4348.0
2010-04-13,3401.71,3324.05,3391.72,0.012,7990769600.0,116440340000.0,1.2,0.0,2806.0,2172.0,633.9
2010-04-14,3404.52,3377.44,3403.71,0.0035,6030612800.0,90787570000.0,1.21,0.0,1738.0,1668.0,70.48
2010-04-15,3412.94,3365.88,3394.57,-0.0027,6105168400.0,88700230000.0,1.51,0.0,3752.0,736.2,3016.0
2010-04-16,3388.29,3348.78,3356.33,-0.0113,4714036800.0,67235600000.0,1.78,0.0,3610.0,882.3,2728.0
2010-04-19,3313.5,3175.44,3176.42,-0.0536,8841629600.0,118855970000.0,1.86,0.0,2518.0,1768.0,749.8
2010-04-20,3196.65,3130.96,3173.37,-0.001,6413786000.0,88005970000.0,1.93,0.0,990.7,321.2,669.6
2010-04-21,3237.54,3164.76,3236.68,0.0199,6692833200.0,93373370000.0,2.03,0.0,2057.0,1007.0,1050.0
2010-04-22,3231.99,3177.73,3201.54,-0.0109,7108168800.0,98970390000.0,2.56,0.0,5731.0,453.9,5277.0
2010-04-23,3224.74,3172.58,3190.0,-0.0036,6125268000.0,92115670000.0,2.61,0.0,3419.0,2916.0,503.3
2010-04-26,3207.72,3168.37,3172.0,-0.0056,5089419600.0,74959120000.0,2.92,0.0,4383.0,1301.0,3082.0
2010-04-27,3163.1,3060.85,3108.41,-0.02,6529657200.0,88058360000.0,3.2,0.0,4133.0,1288.0,2845.0
2010-04-28,3122.11,3062.08,3097.35,-0.0036,4599540800.0,65484925000.0,3.53,0.0,4585.0,1261.0,3324.0
2010-04-29,3130.7,3059.8,3060.06,-0.012,4826097200.0,69250865000.0,3.68,0.0,3575.0,2154.0,1421.0
2010-04-30,3068.13,3014.07,3067.36,0.0024,5447788000.0,73190885000.0,3.81,0.0,4629.0,3243.0,1386.0
2010-05-04,3056.08,2994.92,3019.45,-0.0156,4124860800.0,54558605000.0,3.95,0.0,3290.0,1925.0,1366.0
2010-05-05,3036.86,2943.36,3036.39,0.0056,5967044000.0,80835340000.0,4.76,0.0,1.03,2206.0,8061.0
2010-05-06,3014.91,2895.39,2896.86,-0.046,5877041200.0,81502265000.0,5.3,0.0,9267.0,3807.0,5460.0
2010-05-07,2892.53,2817.15,2836.79,-0.0207,6111940000.0,79147500000.0,5.27,0.0,6175.0,6466.0,-291.1
2010-05-10,2872.31,2798.52,2858.23,0.0076,5020917200.0,64909190000.0,5.54,0.0,5360.0,2664.0,2696.0
2010-05-11,2922.12,2790.7,2800.82,-0.0201,5836348800.0,73894665000.0,5.89,0.0,6651.0,3155.0,3497.0
2010-05-12,2832.15,2756.42,2818.16,0.0062,5300227200.0,64693990000.0,6.15,0.0,5312.0,2700.0,2612.0
2010-05-13,2886.97,2811.66,2886.91,0.0244,5514578000.0,67486535000.0,6.33,0.0,5330.0,3567.0,1763.0
