date,ust_closing_price,ust_extent,usdx_closing_price,usdx_extent
2010-04-01,3.87,0.0097,80.78,-0.0036
2010-04-02,3.943,0.0189,81.29,0.0063
2010-04-05,3.99,0.0119,81.09,-0.0025
2010-04-06,3.956,-0.0085,81.39,0.0037
2010-04-07,3.863,-0.0235,81.44,0.0006
2010-04-08,3.89,0.007,81.53,0.0011
2010-04-09,3.881,-0.0023,81.09,-0.0054
2010-04-12,3.838,-0.0111,80.56,-0.0065
2010-04-13,3.82,-0.0047,80.51,-0.0006
2010-04-14,3.865,0.0118,80.19,-0.004
2010-04-15,3.836,-0.0075,80.48,0.0036
2010-04-16,3.77,-0.0172,80.82,0.0042
2010-04-19,3.803,0.0088,81.0,0.0022
2010-04-20,3.797,-0.0016,81.05,0.0006
2010-04-21,3.738,-0.0155,81.16,0.0014
2010-04-22,3.77,0.0086,81.57,0.0051
2010-04-23,3.817,0.0125,81.35,-0.0027
2010-04-26,3.809,-0.0021,81.48,0.0016
2010-04-27,3.693,-0.0305,82.15,0.0082
2010-04-28,3.767,0.02,82.38,0.0028
2010-04-29,3.73,-0.0098,82.0,-0.0046
2010-04-30,3.659,-0.019,81.87,-0.0016
2010-05-03,3.692,0.009,82.27,0.0049
2010-05-04,3.598,-0.0255,83.3,0.0125
2010-05-05,3.546,-0.0145,84.08,0.0094
2010-05-06,3.405,-0.0398,84.89,0.0096
2010-05-07,3.42,0.0044,84.45,-0.0052
2010-05-10,3.544,0.0363,84.16,-0.0034
2010-05-11,3.527,-0.0048,84.47,0.0037
2010-05-12,3.571,0.0125,84.83,0.0043
2010-05-13,3.537,-0.0095,85.21,0.0045
2010-05-14,3.455,-0.0232,86.09,0.0103
2010-05-17,3.491,0.0104,86.2,0.0013
2010-05-18,3.353,-0.0395,87.16,0.0111
2010-05-19,3.37,0.0051,86.39,-0.0088
2010-05-20,3.216,-0.0457,85.56,-0.0096
2010-05-21,3.236,0.0062,85.37,-0.0022
2010-05-24,3.198,-0.0117,86.21,0.0098
2010-05-25,3.16,-0.0119,86.78,0.0066
2010-05-26,3.192,0.0101,87.12,0.0039
2010-05-27,3.357,0.0517,86.19,-0.0107
2010-05-28,3.303,-0.0161,86.48,0.0034
2010-05-31,3.3,-0.0009,86.59,0.0013
2010-06-01,3.263,-0.0112,86.64,0.0006
2010-06-02,3.347,0.0257,86.79,0.0017
2010-06-03,3.369,0.0066,87.14,0.004
2010-06-04,3.208,-0.0478,88.23,0.0125
2010-06-07,3.146,-0.0193,88.41,0.002
2010-06-08,3.189,0.0137,88.39,-0.0002
