719708291_1635480753679_2960,1,704
679978594_1635491281923_1780,3,112
781051348_1635478916952_3923,0,712
1223262997_1635514428746_6191,1,664
1210159908_1635487197871_9372,6,182
1206224433_1635467439702_8607,2,438
1202318116_1635482087449_3598,1,168
1209354488_1635501697466_3893,3,539
1185220039_1635499119996_2020,2,534
1104284481_1635502336773_3318,1,651
1113175175_1635481859222_1855,5,25
923868160_1635492811503_5662,4,414
652686967_1635459880177_6714,4,490
1209895755_1635484546534_7699,4,204
694715900_1635499307518_3951,0,520
1213591859_1635470224158_1276,3,632
1110057206_1635467007878_1365,4,176
1105606667_1635513224577_6747,3,488
710559822_1635483096347_7092,2,288
1097157083_1635513341928_5069,0,5
281697980_1635481807547_4247,3,10
555753684_1635484583256_7842,6,490
1112874791_1635499702797_4116,0,189
1225603953_1635477456609_813,4,553
723558611_1635502748099_8435,3,246
50132831_1635489228566_9544,1,680
1212498008_1635462521343_5188,5,60
1222856116_1635521448995_6845,0,632
1184348036_1635475721089_2604,5,204
1107683515_1635493088483_7660,7,664
1207089971_1635514530617_9531,5,441
1199922466_1635485168354_7495,2,128
670927239_1635468195393_6336,3,322
1107625749_1635500163003_6612,1,231
125564124_1635506128651_992,7,252
1112372666_1635471621346_907,6,539
1087384723_1635480566574_924,0,192
1219891987_1635472079602_5488,0,18
1203297537_1635489293175_5913,0,56
642412110_1635484114655_1676,2,336
1227535563_1635514682060_3833,1,324
734094959_1635470237741_8644,4,344
625762858_1635479755048_4743,1,276
1227185157_1635459465136_6652,4,392
1152593619_1635476025800_5405,1,84
1162590747_1635502943079_5804,1,320
1211880478_1635466554050_3247,0,16
1152827939_1635474114532_8012,4,632
1131457066_1635486215182_1904,4,265
1227607409_1635510180236_7566,8,315
1176519885_1635510669783_1508,1,322
750275567_1635440149121_8968,2,448
1226273484_1635477919548_3323,8,72
729630177_1635499239804_2151,2,368
1210070905_1635452727669_4624,3,720
1158244835_1635459918529_4645,3,780
687908005_1635467837515_2157,6,640
1223766508_1635501544255_2913,0,623
1227209225_1635518684202_611,0,644
1103491888_1635461486570_6252,0,371
1114158849_1635500922511_8304,2,200
1222901198_1635459769058_3458,7,476
727486048_1635447455063_1849,5,536
1226789478_1635511693397_1069,1,368
1158433580_1635467933515_9127,3,88
717608204_1635495212125_4134,3,108
1215710623_1635479696765_7788,3,364
782886557_1635503121839_9769,8,712
827077928_1635470437366_1432,3,560
817943387_1635501097824_7383,1,364
814553903_1635472236407_1211,5,672
1201910488_1635471065236_9865,4,259
744725245_1635473284426_5038,1,582
210799247_1635485229376_234,5,72
1222264542_1635507565374_4175,3,679
1159694582_1635515324728_8850,3,216
739294559_1635469063805_6571,7,665
1205321707_1635509528114_2401,4,182
1216214476_1635487488459_8436,9,126
976534490_1635505349970_7991,4,104
696733575_1635476345968_3157,3,160
647332273_1635502011133_2057,5,712
835355040_1635463474381_4939,1,18
1219589359_1635521506194_3874,6,287
1166836844_1635495929327_9887,3,392
130513792_1635491630702_1871,6,352
1015259394_1635510846763_4154,6,8
275064746_1635464791185_1231,4,704
1215880545_1635471073729_9795,1,294
733366164_1635483934930_5502,0,558
275811225_1635480472099_3162,5,357
1110751998_1635507200357_896,5,186
1225984077_1635514850104_1790,3,616
1223904476_1635492189126_3464,1,522
1220766197_1635455738420_6154,0,216
1106978636_1635520804356_4041,6,632
1196633794_1635457777411_3926,3,434
1200806464_1635513734415_4548,0,252
632438784_1635506216281_8633,0,36
1051428785_1635481131144_5559,8,192
1108253403_1635475558688_7865,3,608
625294739_1635519964497_748,3,204
691115369_1635459061031_8399,3,128
908925334_1635516864418_4249,0,184
1116565459_1635457867102_3293,4,390
694263279_1635438968684_3103,4,112
694825377_1635511460972_5530,4,400
1113148026_1635455521934_2514,0,371
1103927800_1635490499087_42,4,532
810917184_1635516698185_3143,4,504
1029486413_1635498227619_6903,5,354
1215227434_1635472131306_2285,5,576
611007768_1635515198873_3997,3,21
1200223793_1635500685875_9968,2,476
1213253586_1635493176711_9055,8,432
1209322516_1635490658108_8887,2,240
660796983_1635454626070_6575,8,152
1226434191_1635480731470_7307,3,140
622326212_1635464163069_404,5,56
731923710_1635515343936_3869,4,486
1227751635_1635498341240_8012,3,182
1020869363_1635519110714_3564,8,32
491530054_1635482343346_1414,5,328
847760956_1635466751152_9180,3,84
1199246633_1635483786056_5146,1,371
1224153753_1635479847674_5527,4,224
679318259_1635519624900_6747,8,592
630081247_1635472276134_7532,0,720
1109966245_1635493508986_9816,8,752
652824792_1635506057237_8060,5,728
742782181_1635487470630_2018,4,10
773373811_1635485264781_681,9,522
1097142724_1635503926067_5528,6,91
1007891780_1635462177510_5295,7,343
1104035366_1635483829162_6406,6,270
1222991266_1635474527974_5686,6,448
1213856614_1635490791613_8643,8,128
1226839149_1635497762956_8550,8,392
1198653451_1635463290353_4028,0,260
393871846_1635491312259_9279,2,266
497903548_1635505264542_2090,4,588
529299766_1635463855645_3885,3,424
613290319_1635506211922_3751,2,145
1222007943_1635483647160_5345,8,104
816116242_1635476641857_6103,2,84
1216675780_1635465883662_6289,5,42
743867771_1635501953571_3733,4,568
486393273_1635486979949_4906,8,712
1218248630_1635515214941_5624,2,630
1227182560_1635457446454_6555,4,231
1210281099_1635490002201_3547,5,70
1207574852_1635509785515_7873,4,504
1170755165_1635449916865_628,4,160
692775728_1635484247501_674,7,24
647819980_1635466669466_3895,6,552
680001015_1635489379746_8589,0,88
740471335_1635470716081_8877,3,693
1104156148_1635478149192_1724,5,704
687954311_1635497957077_5691,4,234
1189764253_1635481083629_5765,4,56
784189218_1635473159891_3398,3,456
1214913539_1635512155470_5892,7,592
817375398_1635520519234_2341,10,690
1216903387_1635462688113_7069,0,8
507790786_1635519891335_1562,2,696
1111849757_1635512984742_3956,6,490
1227554537_1635518514541_370,4,325
642259914_1635495091652_7554,6,520
754799487_1635476206906_834,6,540
1105050851_1635516491938_5524,4,136
1226751361_1635469536973_8019,6,30
845708913_1635468406783_3379,4,152
1220748755_1635514821085_7584,1,266
1196896023_1635471626633_925,0,210
1106821060_1635457798476_4602,5,414
1221865451_1635519306834_6860,1,558
1144822151_1635501035550_5787,0,348
1224162647_1635467142748_5431,4,357
591696390_1635520048995_1230,3,776
723077378_1635481500514_9378,5,56
1225851930_1635509480890_7619,8,344
1214296551_1635487571394_346,0,260
1139409649_1635463692693_185,0,365
1198629452_1635441470405_1184,5,120
1200145649_1635458379979_2492,7,920
1190726458_1635448468410_3880,5,426
1209991666_1635513201646_7299,5,198
570016240_1635457040150_9963,0,294
1173197251_1635470221707_3118,6,384
1121370720_1635514401982_7469,5,570
1182111494_1635515243696_7771,2,273
748486343_1635467676154_2852,8,104
1227706211_1635495420082_1361,9,1128
15631411_1635466451369_9672,5,704
673798419_1635494731147_969,8,480
1200561274_1635506766411_2408,5,126
1019122227_1635485685963_1380,2,567
1193992903_1635439345127_5640,8,168
1107746905_1635483910434_4871,2,693
59239547_1635460468376_9288,3,324
827058033_1635509394328_5130,3,765
2381052_1635493793675_2167,7,238
838330649_1635498235703_552,6,63
1227433653_1635506997952_3666,5,504
40072041_1635507506027_8586,0,154
1171220244_1635447641683_3824,3,616
884246255_1635512013440_7861,4,490
1107686753_1635510342108_1449,4,665
1195770035_1635455051292_1408,5,553
1147110282_1635461481148_7184,0,329
662423362_1635471349217_3156,5,136
748431385_1635493500744_4209,4,324
971165693_1635504562556_3732,7,637
1039950865_1635477303900_6683,7,539
1215236844_1635482054232_4887,4,434
363076818_1635462870099_4014,2,66
1225811712_1635512496263_2683,7,104
742510325_1635517705493_1069,0,588
1216224282_1635514287433_6092,4,140
691917587_1635477250691_3687,3,24
1226523184_1635507980526_3053,11,198
1117412617_1635495211625_8298,0,16
979277462_1635490925732_5398,5,60
820888763_1635511595936_4416,6,238
1205547416_1635514643254_9324,7,424
687882416_1635478666014_364,3,301
1215104173_1635510771088_4120,4,232
1188890021_1635494769703_2411,1,686
1125640388_1635510589025_7019,0,105
640398434_1635477179750_752,2,72
984656170_1635519248989_4469,3,510
1224341948_1635510474755_4139,3,688
1227731081_1635438532093_8643,1,342
1104576185_1635479608276_1258,2,285
1222354224_1635490788786_8277,4,672
110963257_1635506523297_9910,4,371
1112454989_1635500644510_3166,6,91
846648905_1635462720245_1339,5,152
682754993_1635510364056_5694,3,300
1227699002_1635480600779_8487,1,12
1197860978_1635499232760_1164,0,288
723827555_1635465629704_6649,0,204
808388953_1635459628501_1957,2,192
1225338433_1635509760479_7154,6,126
1215000167_1635461138075_1077,1,378
843240372_1635516529378_5120,4,72
1172206060_1635511206722_8698,8,648
176409978_1635516959922_6562,0,252
785654084_1635485843768_1159,0,365
1203948483_1635476162517_4584,4,4
817618930_1635501289023_5423,1,182
1196277903_1635494476511_2313,5,98
1191039465_1635493584982_6439,1,360
1216934312_1635509104926_6626,5,432
180022938_1635461502272_4860,1,568
1224801008_1635507599197_9628,3,39
652202177_1635456791299_3538,4,266
572438749_1635520925356_8435,0,18
70340103_1635515584587_7049,3,296
1193708478_1635511129821_5043,7,336
738841901_1635485228051_1765,1,336
484493376_1635464521620_3696,6,128
1104066657_1635513025161_500,3,48
210769997_1635506104180_8928,4,66
1224639107_1635492876416_8813,6,161
1052985410_1635512250676_9475,0,679
1217021447_1635468736507_7752,1,48
1217662815_1635457663908_6647,1,658
1216350317_1635454669408_2046,3,316
1107521897_1635497346841_7500,3,108
1218826165_1635514966666_5736,2,152
707774966_1635506393767_1476,6,320
1196456711_1635497097686_7773,2,296
594393235_1635483528061_1155,4,308
736599201_1635450767820_2558,3,140
591783006_1635485089899_3675,3,189
1169946947_1635502867923_6752,1,744
1126668859_1635474853075_2830,2,390
1106857364_1635511275425_9410,3,300
1119240946_1635483274549_9005,0,408
1227726178_1635508607893_728,4,304
117396731_1635440929090_1645,7,119
721006059_1635497666388_9137,2,147
720452593_1635494477574_3607,3,160
1227348669_1635472215437_389,0,225
1206409394_1635517337179_7508,1,344
636083280_1635513838404_9046,3,560
1198956132_1635462015350_9706,5,396
1166159655_1635477806028_2550,0,126
1200319569_1635517111820_38,3,360
1097132963_1635515133541_5241,4,576
1112484621_1635479968856_46,5,238
752533579_1635480357510_8191,2,72
