x,y,traffic
66,1486,140.58139
67,1486,140.518829
177,1486,48.919178
187,1486,4.322495
284,1486,71.528404
309,1486,0.073663
1400,1486,17.549461
1418,1486,5.52031
1419,1486,123.234512
1464,1486,4.20756
1483,1486,8.71633
1554,1486,0.885215
1571,1486,1.660621
1582,1486,0.584615
1584,1486,1
1610,1486,52.091114
1611,1486,103.05574
1615,1486,18.060654
1618,1486,137.549713
1624,1486,3.838059
1635,1486,4.319158
1639,1486,5.369551
1640,1486,5.935479
1641,1486,9.333333
1642,1486,10.222217
1643,1486,5.999999
1644,1486,7.255817
1645,1486,19.062057
1646,1486,39.618504
1951,1486,4.836857
1953,1486,1.793385
1958,1486,6.901786
1959,1486,1.589287
1961,1486,4.073172
1963,1486,8.81702
1965,1486,3.934207
1967,1486,4.073172
1968,1486,3.382672
1969,1486,12.031091
1976,1486,17.783766
1977,1486,6.591182
1981,1486,4.62097
1983,1486,4.073172
1984,1486,13.928996
1985,1486,4.073172
1986,1486,4.350456
1999,1486,5.955492
2007,1486,0.448436
2008,1486,0.708791
2009,1486,2.398533
2011,1486,1.912168
2012,1486,12.446363
2014,1486,6.554538
2015,1486,1.673773
2017,1486,3.493927
2086,1486,17.929533
2264,1486,0.387435
2310,1486,1.297466
2311,1486,3.793166
2312,1486,5.699562
2313,1486,6.896721
2314,1486,6.132258
2315,1486,5.709706
2316,1486,6.028274
2436,1486,24.53521
2437,1486,218.811707
2450,1486,16.003372
2451,1486,16.118795
2452,1486,51.349506
2453,1486,46.047535
2454,1486,14.744382
2472,1486,184.902466
2473,1486,119.094734
531,1487,346.943726
533,1487,24.140331
534,1487,9
71,1167,62.397919
73,1167,187.597946
107,1167,0.256128
112,1167,0.378014
186,1167,2.471924
187,1167,16.56325
188,1167,10.279812
189,1167,9.04231
190,1167,7.067256
191,1167,10.611419
192,1167,3.432203
193,1167,3.926062
194,1167,9.786309
195,1167,2.868344
196,1167,5.092932
197,1167,4.761342
198,1167,3.879846
199,1167,4.899742
201,1167,12.951043
202,1167,7.243529
209,1167,3.308842
211,1167,8.344119
212,1167,9.130441
213,1167,4.813581
214,1167,16.437502
215,1167,18.688311
216,1167,34.664219
217,1167,21.414787
218,1167,30.247164
219,1167,31.265512
220,1167,111.249771
221,1167,76.385269
222,1167,34.000961
223,1167,58.885941
224,1167,53.736065
225,1167,48.867855
258,1167,36.822071
259,1167,40.874035
499,1167,6.124706
1410,1487,6.344786
1445,1487,33.166767
1463,1487,23.015337
1464,1487,40.070396
1465,1487,2.651383
1468,1487,7.745351
1478,1487,15.137254
1482,1487,9.765923
1483,1487,16.295732
1484,1487,158.067978
1485,1487,42.657925
1489,1487,21.37278
1547,1487,11.65392
1563,1487,1.261791
725,1167,28.5
726,1167,30.459053
727,1167,54.938679
1571,1487,3.551886
1572,1487,46.445183
728,1167,32.052448
1582,1487,0.271186
1586,1487,54.790535
1609,1487,40.123634
1610,1487,16.736795
1612,1487,60.305702
1616,1487,19.891932
1618,1487,3.838059
1628,1487,11.885697
1634,1487,3.838059
1635,1487,3.604328
1636,1487,8.973879
1637,1487,8.894979
1638,1487,15.380627
1641,1487,10.222217
1642,1487,4.516125
1643,1487,4.516125
1644,1487,14.270316
846,1167,4.98466
847,1167,11.044124
848,1167,11.811038
849,1167,11.824634
850,1167,11.824634
851,1167,11.633881
872,1167,324.5
223,2124,8.75
1958,1487,3.93047
1961,1487,3.87281
1964,1487,3.934207
1965,1487,3.87281
1967,1487,3.87281
1969,1487,17.33268
1977,1487,3.934207
1980,1487,4.350456
1981,1487,3.382672
1984,1487,3.124274
1995,1487,20.878471
1997,1487,4.62097
1999,1487,3.87281
2000,1487,20.119368
2008,1487,0.196262
2009,1487,0.196262
2011,1487,12.446363
2014,1487,35.858402
2055,1487,2.993844
2056,1487,22.500334
2085,1487,2.759423
2086,1487,6.079313
2213,1487,1.257875
2214,1487,0.202448
1381,1167,423.592743
1382,1167,5.501444
2310,1487,1.122864
2311,1487,0.880031
2312,1487,2.427101
2313,1487,3.617411
2314,1487,3.012453
2315,1487,3.437752
2316,1487,2.547765
2317,1487,1.375446
2318,1487,1.938302
2319,1487,1.567599
2320,1487,14.515831
2368,1487,116.220924
2369,1487,93.9394
2452,1487,7.711866
2454,1487,34.837681
1604,1167,8
1606,1167,24.599995
142,1805,43.836395
143,1805,25.221775
144,1805,23.479233
145,1805,6.094598
146,1805,4.069795
147,1805,1.058334
148,1805,0.21978
149,1805,18.714283
150,1805,0.872619
151,1805,0.901923
152,1805,0.825
153,1805,2.825
154,1805,0.271429
155,1805,67.071426
156,1805,0.071429
157,1805,18.738092
158,1805,134.738083
159,1805,0.071429
160,1805,0.071429
164,1805,0.071429
165,1805,0.071429
166,1805,0.071429
167,1805,29.029778
168,1805,29.029778
169,1805,29.029778
170,1805,66.0298
173,1805,0.142857
174,1805,0.530716
175,1805,15.675299
176,1805,37.411858
177,1805,59.602139
178,1805,122.249359
277,1805,681.299194
290,1805,8.072746
291,1805,7.755836
292,1805,12.758862
1713,2124,32
1714,2124,43.590881
1715,2124,50.854305
1734,2124,25.590868
1827,2124,14.055512
1840,2124,24.880646
1841,2124,21.879782
1842,2124,11.307561
